Sample Name,Sample type,Sample group,Matrix,Location,Compound,Analyte Peak Area,Analyte Retention Time (min),Internal Standard Peak Area,Internal Standard Retention Time (min),Normalization factor
2022_NIABiota_GroupB_BlenderBlank,Blank,Blender,Biota,NIA,PFHpA,8.59E+02,2.58,8.61E+03,2.63,1.00E+00
2022_NIABiota_GroupB_BlenderSpike,Spike,Blender,Biota,NIA,PFHpA,3.57E+02,2.51,3.40E+03,2.64,1.00E+00
2022_NIABiota_GroupB_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFHpA,6.89E+02,2.53,4.80E+03,2.66,1.00E+00
2022_NIABiota_GroupB_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFHpA,1.24E+04,2.54,2.77E+03,2.66,1.00E+00
2022_NIABiota_GroupB_Spider1,Sample,Homogenizer,Biota,NIA,PFHpA,9.99E+02,2.52,8.37E+03,2.63,1.00E+00
2022_NIABiota_GroupB_Spider2,Sample,Homogenizer,Biota,NIA,PFHpA,1.27E+03,2.49,1.05E+04,2.66,1.00E+00
2022_NIABiota_GroupB_Sunfish1,Sample,Blender,Biota,NIA,PFHpA,6.20E+02,2.55,6.29E+03,2.67,1.00E+00
2022_NIABiota_GroupB_Sunfish2,Sample,Blender,Biota,NIA,PFHpA,5.46E+04,2.54,7.68E+03,2.62,1.00E+00
2022_NIABiota_GroupC_BlenderBlank,Blank,Blender,Biota,NIA,PFHpA,0.00E+00,0,5.54E+03,2.64,1.00E+00
2022_NIABiota_GroupC_BlenderSpike,Spike,Blender,Biota,NIA,PFHpA,7.45E+02,2.69,2.46E+03,2.67,1.00E+00
2022_NIABiota_GroupC_Catfish1,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,1.08E+03,2.66,1.00E+00
2022_NIABiota_GroupC_Catfish2,Sample,Blender,Biota,NIA,PFHpA,1.40E+04,2.53,1.09E+03,2.67,1.00E+00
2022_NIABiota_GroupC_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFHpA,0.00E+00,0,3.66E+03,2.65,1.00E+00
2022_NIABiota_GroupC_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFHpA,0.00E+00,0,1.81E+03,2.64,1.00E+00
2022_NIABiota_GroupC_Shrimp1,Sample,Homogenizer,Biota,NIA,PFHpA,2.36E+02,2.68,2.26E+03,2.65,1.00E+00
2022_NIABiota_GroupC_Shrimp2,Sample,Homogenizer,Biota,NIA,PFHpA,1.00E+04,2.54,2.90E+03,2.66,1.00E+00
2022_NIABiota_GroupD_Crayfish1,Sample,Mortar,Biota,NIA,PFHpA,1.06E+03,2.55,6.78E+03,2.64,1.00E+00
2022_NIABiota_GroupD_Crayfish2,Sample,Mortar,Biota,NIA,PFHpA,9.93E+02,2.59,3.79E+03,2.64,1.00E+00
2022_NIABiota_GroupD_MortarBlank,Blank,Mortar,Biota,NIA,PFHpA,6.11E+02,2.57,3.20E+03,2.63,1.00E+00
2022_NIABiota_GroupD_MortarSpike,Spike,Mortar,Biota,NIA,PFHpA,3.63E+04,2.5,6.92E+03,2.64,1.00E+00
2022_NIABiota_GroupE_BlenderBlank,Blank,Blender,Biota,NIA,PFHpA,1.10E+03,2.52,9.21E+03,2.65,1.00E+00
2022_NIABiota_GroupE_Catfish,Sample,Blender,Biota,NIA,PFHpA,5.04E+02,2.54,3.43E+03,2.67,1.00E+00
2022_NIABiota_GroupE_MortarBlank,Blank,Mortar,Biota,NIA,PFHpA,1.13E+03,2.51,8.01E+03,2.63,1.00E+00
2022_NIABiota_GroupE_MortarSpike,Spike,Mortar,Biota,NIA,PFHpA,1.74E+02,2.55,1.62E+03,2.67,1.00E+00
2022_NIABiota_GroupE_Snail,Sample,Mortar,Biota,NIA,PFHpA,1.33E+04,2.55,5.60E+03,2.64,1.00E+00
2022_NIABiota_GroupF_BlenderBlank,Blank,Blender,Biota,NIA,PFHpA,6.84E+02,2.63,5.42E+03,2.65,1.00E+00
2022_NIABiota_GroupF_BlenderSpike,Spike,Blender,Biota,NIA,PFHpA,5.14E+02,2.55,5.62E+03,2.64,1.00E+00
2022_NIABiota_GroupF_LargeSunfish1,Sample,Blender,Biota,NIA,PFHpA,6.88E+02,2.54,4.89E+03,2.66,1.00E+00
2022_NIABiota_GroupF_LargeSunfish2,Sample,Blender,Biota,NIA,PFHpA,5.39E+02,2.59,4.83E+03,2.66,1.00E+00
2022_NIABiota_GroupF_LargeSunfish3,Sample,Blender,Biota,NIA,PFHpA,1.42E+04,2.54,6.01E+03,2.67,1.00E+00
2022_NIABiota_GroupF_MortarBlank,Blank,Mortar,Biota,NIA,PFHpA,0.00E+00,0,2.01E+03,2.64,1.00E+00
2022_NIABiota_GroupF_MortarSpike,Spike,Mortar,Biota,NIA,PFHpA,2.47E+02,2.57,4.68E+03,2.64,1.00E+00
2022_NIABiota_GroupF_Snail1,Sample,Mortar,Biota,NIA,PFHpA,0.00E+00,0,4.00E+03,2.65,1.00E+00
2022_NIABiota_GroupF_Snail2,Sample,Mortar,Biota,NIA,PFHpA,1.03E+04,2.55,2.26E+03,2.67,1.00E+00
2021_20MCSediment_GroupG_Sample1,Sample,Field,Sediment,20MC,PFHpA,1898.896901,2.55,3000,2.65,1.00E+00
2021_20MCSediment_GroupG_Sample2,Sample,Field,Sediment,20MC,PFHpA,1368.185213,2.55,3000,2.65,1.00E+00
2021_20MCSediment_GroupG_Sample3,Sample,Field,Sediment,20MC,PFHpA,1457.179082,2.55,3000,2.65,1.00E+00
2021_20MCSediment_GroupG_Spike,Spike,Field,Sediment,20MC,PFHpA,170799.1038,2.55,3000,2.65,1.00E+00
2021_20MCSediment_GroupG_LabBlank,Blank,Lab,Sediment,20MC,PFHpA,702.0164302,2.55,3000,2.65,1.00E+00
2021_20MCSediment_GroupG_FieldBlank,Blank,Field,Sediment,20MC,PFHpA,3607.34321,2.55,3000,2.65,1.00E+00
2021_20MCSediment_GroupH_Sample1,Sample,Field,Sediment,20MC,PFHpA,2143.164279,2.55,3000,2.65,1.00E+00
2021_20MCSediment_GroupH_Sample2,Sample,Field,Sediment,20MC,PFHpA,1233.501694,2.55,3000,2.65,1.00E+00
2021_20MCSediment_GroupH_Sample3,Sample,Field,Sediment,20MC,PFHpA,1857.404538,2.55,3000,2.65,1.00E+00
2021_20MCSediment_GroupH_Spike,Spike,Field,Sediment,20MC,PFHpA,65911.54261,2.55,3000,2.65,1.00E+00
2021_20MCSediment_GroupH_LabBlank,Blank,Lab,Sediment,20MC,PFHpA,819.3438755,2.55,3000,2.65,1.00E+00
2021_20MCSediment_GroupH_FieldBlank,Blank,Field,Sediment,20MC,PFHpA,757.1479748,2.55,3000,2.65,1.00E+00
2021_20MCSediment_GroupI_Sample1,Sample,Field,Sediment,20MC,PFHpA,1535.28918,2.55,3000,2.65,1.00E+00
2021_20MCSediment_GroupI_Sample2,Sample,Field,Sediment,20MC,PFHpA,847.7628038,2.55,3000,2.65,1.00E+00
2021_20MCSediment_GroupI_Sample3,Sample,Field,Sediment,20MC,PFHpA,665.6866817,2.55,3000,2.65,1.00E+00
2021_20MCSediment_GroupI_Spike,Spike,Field,Sediment,20MC,PFHpA,167757.4852,2.55,3000,2.65,1.00E+00
2021_20MCSediment_GroupI_LabBlank,Blank,Lab,Sediment,20MC,PFHpA,8529.468323,2.55,3000,2.65,1.00E+00
2021_20MCSediment_GroupI_FieldBlank,Blank,Field,Sediment,20MC,PFHpA,2347.921765,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupG_MortarSpike,Spike,Mortar,Biota,20MC,PFHpA,36963.63625,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupG_MortarBlank,Blank,Mortar,Biota,20MC,PFHpA,787.5081971,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupG_BlenderBlank,Blank,Blender,Biota,20MC,PFHpA,319.0145585,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupG_Crayfish1,Sample,Mortar,Biota,20MC,PFHpA,367.385978,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupG_Crayfish2,Sample,Mortar,Biota,20MC,PFHpA,965.1699762,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupG_Catfish1,Sample,Blender,Biota,20MC,PFHpA,570.3034829,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupG_Catfish2,Sample,Blender,Biota,20MC,PFHpA,2341.028623,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupG_HardshellBug,Sample,Mortar,Biota,20MC,PFHpA,430.1594002,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupH_MortarSpike,Spike,Mortar,Biota,20MC,PFHpA,37935.11722,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupH_MortarBlank,Blank,Mortar,Biota,20MC,PFHpA,438.4427408,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupH_BlenderBlank,Blank,Blender,Biota,20MC,PFHpA,319.0145585,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupH_HardshellBug1,Sample,Mortar,Biota,20MC,PFHpA,159.6032041,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupH_HardshellBug2,Sample,Mortar,Biota,20MC,PFHpA,328.2956925,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupH_Crayfish1,Sample,Mortar,Biota,20MC,PFHpA,722.9956446,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupH_Crayfish2,Sample,Mortar,Biota,20MC,PFHpA,1524.914462,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupH_Catfish,Sample,Blender,Biota,20MC,PFHpA,1468.936874,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupI_MortarSpike,Spike,Mortar,Biota,20MC,PFHpA,27969.06252,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupI_MortarBlank,Blank,Mortar,Biota,20MC,PFHpA,1523.942823,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupI_BlenderBlank,Blank,Blender,Biota,20MC,PFHpA,319.0145585,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupI_Crayfish,Sample,Mortar,Biota,20MC,PFHpA,2909.212076,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupI_Sunfish,Sample,Blender,Biota,20MC,PFHpA,482.0295865,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupI_Catfish,Sample,Blender,Biota,20MC,PFHpA,937.008704,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupI_Nymph,Sample,Mortar,Biota,20MC,PFHpA,875.1509016,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupI_Slug,Sample,Blender,Biota,20MC,PFHpA,281.1507882,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupI_Beetle1,Sample,Mortar,Biota,20MC,PFHpA,750.1245999,2.55,3000,2.65,1.00E+00
2021_20MCBiota_GroupI_Beetle2,Sample,Mortar,Biota,20MC,PFHpA,492.1561241,2.55,3000,2.65,1.00E+00
0 ng/mL,Calibration Curve,Lab,N/A,N/A,PFOA,0.00E+00,2.62,1.32E+05,2.6,1.00E+00
0.2 ng/mL,Calibration Curve,Lab,N/A,N/A,PFOA,2.43E+05,2.62,1.05E+05,2.6,1.00E+00
0.4 ng/mL,Calibration Curve,Lab,N/A,N/A,PFOA,3.89E+05,2.63,1.08E+05,2.6,1.00E+00
1 ng/mL,Calibration Curve,Lab,N/A,N/A,PFOA,8.10E+05,2.63,1.20E+05,2.61,1.00E+00
2 ng/mL,Calibration Curve,Lab,N/A,N/A,PFOA,1.28E+06,2.63,1.17E+05,2.61,1.00E+00
4 ng/mL,Calibration Curve,Lab,N/A,N/A,PFOA,1.29E+06,2.63,1.19E+05,2.62,1.00E+00
10 ng/mL,Calibration Curve,Lab,N/A,N/A,PFOA,1.86E+06,2.62,1.08E+05,2.62,1.00E+00
20 ng/mL,Calibration Curve,Lab,N/A,N/A,PFOA,2.46E+06,2.62,9.58E+04,2.62,1.00E+00
40 ng/mL,Calibration Curve,Lab,N/A,N/A,PFOA,3.75E+06,2.63,8.20E+04,2.61,1.00E+00
100 ng/mL,Calibration Curve,Lab,N/A,N/A,PFOA,5.89E+06,2.63,6.88E+04,2.62,1.00E+00
2022_20MCWater_FieldBlank,Blank,Field,Water,20MC,PFOA,5.71E+05,2.64,5.46E+04,2.61,1.00E+00
2022_20MCWater_FieldSpike1,Spike,Field,Water,20MC,PFOA,3.28E+05,2.64,6.21E+04,2.62,1.00E+00
2022_20MCWater_FieldSpike2,Spike,Field,Water,20MC,PFOA,5.09E+05,2.64,4.73E+04,2.63,1.00E+00
2022_20MCWater_LabBlank,Blank,Lab,Water,20MC,PFOA,3.25E+05,2.64,3.08E+04,2.64,1.00E+00
2022_20MCWater_Sample1,Sample,Field,Water,20MC,PFOA,4.66E+05,2.64,3.92E+04,2.63,1.00E+00
2022_20MCWater_Sample2,Sample,Field,Water,20MC,PFOA,4.31E+05,2.65,3.88E+04,2.63,1.00E+00
2022_20MCWater_Sample3,Sample,Field,Water,20MC,PFOA,5.33E+05,2.64,4.52E+04,2.62,1.00E+00
2022_20MCWater_Sample4,Sample,Field,Water,20MC,PFOA,4.76E+05,2.63,4.04E+04,2.64,1.00E+00
2022_NIAWater_FieldBlank1,Blank,Field,Water,NIA,PFOA,3.94E+05,2.64,3.68E+04,2.62,1.00E+00
2022_NIAWater_FieldBlank2,Blank,Field,Water,NIA,PFOA,4.28E+05,2.65,3.98E+04,2.62,1.00E+00
2022_NIAWater_FieldSpike1,Spike,Field,Water,NIA,PFOA,3.09E+05,2.64,4.70E+04,2.65,1.00E+00
2022_NIAWater_FieldSpike2,Spike,Field,Water,NIA,PFOA,2.84E+05,2.6,3.47E+04,2.57,1.00E+00
2022_NIAWater_LabBlank,Blank,Lab,Water,NIA,PFOA,2.88E+05,2.57,2.73E+04,2.56,1.00E+00
2022_NIAWater_Sample1,Sample,Field,Water,NIA,PFOA,4.19E+05,2.53,3.00E+04,2.54,1.00E+00
2022_NIAWater_Sample2,Sample,Field,Water,NIA,PFOA,3.74E+05,2.64,3.10E+04,2.65,1.00E+00
2022_NIAWater_Sample3,Sample,Field,Water,NIA,PFOA,3.84E+05,2.63,3.29E+04,2.62,1.00E+00
2022_NIASediment_GroupA_FieldBlank,Blank,Field,Sediment,NIA,PFOA,8.05E+04,2.67,5.80E+03,2.62,1.00E+00
2022_NIASediment_GroupA_LabBlank,Blank,Lab,Sediment,NIA,PFOA,7.80E+04,2.62,7.96E+03,2.65,1.00E+00
2022_NIASediment_GroupA_Sample,Sample,Field,Sediment,NIA,PFOA,6.12E+04,2.66,7.25E+03,2.61,1.00E+00
2022_NIASediment_GroupA_Spike,Spike,Field,Sediment,NIA,PFOA,6.85E+04,2.64,3.39E+03,2.61,1.00E+00
2022_NIASediment_GroupB_FieldBlank,Blank,Field,Sediment,NIA,PFOA,3.75E+04,2.65,3.55E+03,2.66,1.00E+00
2022_NIASediment_GroupB_LabBlank,Blank,Lab,Sediment,NIA,PFOA,3.47E+04,2.65,2.12E+03,2.63,1.00E+00
2022_NIASediment_GroupB_Sample,Sample,Field,Sediment,NIA,PFOA,2.73E+04,2.65,2.11E+03,2.63,1.00E+00
2022_NIASediment_GroupB_Spike,Spike,Field,Sediment,NIA,PFOA,3.23E+04,2.62,1.91E+03,2.63,1.00E+00
2022_NIASediment_GroupE_FieldBlank,Blank,Field,Sediment,NIA,PFOA,1.99E+04,2.65,3.36E+03,2.61,1.00E+00
2022_NIASediment_GroupE_LabBlank,Blank,Lab,Sediment,NIA,PFOA,1.85E+04,2.66,9.76E+02,2.64,1.00E+00
2022_NIASediment_GroupE_Sample,Sample,Field,Sediment,NIA,PFOA,1.65E+04,2.66,1.42E+03,2.65,1.00E+00
2022_NIASediment_GroupE_Spike,Spike,Field,Sediment,NIA,PFOA,2.16E+04,2.66,9.37E+02,2.62,1.00E+00
2022_NIASediment_GroupF_FieldBlank,Blank,Field,Sediment,NIA,PFOA,2.63E+04,2.65,1.39E+03,2.68,1.00E+00
2022_NIASediment_GroupF_LabBlank,Blank,Lab,Sediment,NIA,PFOA,2.18E+04,2.67,1.04E+03,2.65,1.00E+00
2022_NIASediment_GroupF_Sample,Sample,Field,Sediment,NIA,PFOA,1.99E+04,2.65,7.81E+02,2.66,1.00E+00
2022_NIASediment_GroupF_Spike,Spike,Field,Sediment,NIA,PFOA,3.05E+04,2.66,1.35E+03,2.63,1.00E+00
2022_NIABiota_GroupA_BlenderBlank,Blank,Blender,Biota,NIA,PFOA,7.66E+04,2.66,7.38E+03,2.65,1.00E+00
2022_NIABiota_GroupA_Crayfish1,Sample,Mortar,Biota,NIA,PFOA,5.05E+04,2.67,3.85E+03,2.65,1.00E+00
2022_NIABiota_GroupA_Crayfish2,Sample,Mortar,Biota,NIA,PFOA,4.92E+04,2.67,4.63E+03,2.63,1.00E+00
2022_NIABiota_GroupA_MortarBlank,Blank,Mortar,Biota,NIA,PFOA,8.54E+04,2.65,6.39E+03,2.65,1.00E+00
2022_NIABiota_GroupA_MortarSpike,Spike,Mortar,Biota,NIA,PFOA,5.98E+04,2.65,5.61E+03,2.64,1.00E+00
2022_NIABiota_GroupA_Sunfish1,Sample,Blender,Biota,NIA,PFOA,4.70E+04,2.68,4.42E+03,2.64,1.00E+00
2022_NIABiota_GroupA_Sunfish2,Sample,Blender,Biota,NIA,PFOA,8.93E+04,2.64,7.14E+03,2.65,1.00E+00
2022_NIABiota_GroupB_BlenderBlank,Blank,Blender,Biota,NIA,PFOA,6.43E+04,2.67,8.61E+03,2.63,1.00E+00
2022_NIABiota_GroupB_BlenderSpike,Spike,Blender,Biota,NIA,PFOA,5.21E+04,2.66,3.40E+03,2.64,1.00E+00
2022_NIABiota_GroupB_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFOA,5.49E+04,2.67,4.80E+03,2.66,1.00E+00
2022_NIABiota_GroupB_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFOA,5.70E+04,2.65,2.77E+03,2.66,1.00E+00
2022_NIABiota_GroupB_Spider1,Sample,Homogenizer,Biota,NIA,PFOA,6.30E+04,2.67,8.37E+03,2.63,1.00E+00
2022_NIABiota_GroupB_Spider2,Sample,Homogenizer,Biota,NIA,PFOA,8.29E+04,2.65,1.05E+04,2.66,1.00E+00
2022_NIABiota_GroupB_Sunfish1,Sample,Blender,Biota,NIA,PFOA,7.77E+04,2.66,6.29E+03,2.67,1.00E+00
2022_NIABiota_GroupB_Sunfish2,Sample,Blender,Biota,NIA,PFOA,1.19E+05,2.66,7.68E+03,2.62,1.00E+00
2022_NIABiota_GroupC_BlenderBlank,Blank,Blender,Biota,NIA,PFOA,7.09E+04,2.65,5.54E+03,2.64,1.00E+00
2022_NIABiota_GroupC_BlenderSpike,Spike,Blender,Biota,NIA,PFOA,3.10E+04,2.67,2.46E+03,2.67,1.00E+00
2022_NIABiota_GroupC_Catfish1,Sample,Blender,Biota,NIA,PFOA,1.70E+04,2.64,1.08E+03,2.66,1.00E+00
2022_NIABiota_GroupC_Catfish2,Sample,Blender,Biota,NIA,PFOA,3.44E+04,2.64,1.09E+03,2.67,1.00E+00
2022_NIABiota_GroupC_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFOA,4.72E+04,2.66,3.66E+03,2.65,1.00E+00
2022_NIABiota_GroupC_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFOA,2.06E+04,2.65,1.81E+03,2.64,1.00E+00
2022_NIABiota_GroupC_Shrimp1,Sample,Homogenizer,Biota,NIA,PFOA,2.87E+04,2.66,2.26E+03,2.65,1.00E+00
2022_NIABiota_GroupC_Shrimp2,Sample,Homogenizer,Biota,NIA,PFOA,4.50E+04,2.67,2.90E+03,2.66,1.00E+00
2022_NIABiota_GroupD_Crayfish1,Sample,Mortar,Biota,NIA,PFOA,6.53E+04,2.66,6.78E+03,2.64,1.00E+00
2022_NIABiota_GroupD_Crayfish2,Sample,Mortar,Biota,NIA,PFOA,3.30E+04,2.68,3.79E+03,2.64,1.00E+00
2022_NIABiota_GroupD_MortarBlank,Blank,Mortar,Biota,NIA,PFOA,5.76E+04,2.66,3.20E+03,2.63,1.00E+00
2022_NIABiota_GroupD_MortarSpike,Spike,Mortar,Biota,NIA,PFOA,1.20E+05,2.65,6.92E+03,2.64,1.00E+00
2022_NIABiota_GroupE_BlenderBlank,Blank,Blender,Biota,NIA,PFOA,5.52E+04,2.63,9.21E+03,2.65,1.00E+00
2022_NIABiota_GroupE_Catfish,Sample,Blender,Biota,NIA,PFOA,4.02E+04,2.66,3.43E+03,2.67,1.00E+00
2022_NIABiota_GroupE_MortarBlank,Blank,Mortar,Biota,NIA,PFOA,5.10E+04,2.64,8.01E+03,2.63,1.00E+00
2022_NIABiota_GroupE_MortarSpike,Spike,Mortar,Biota,NIA,PFOA,2.40E+04,2.65,1.62E+03,2.67,1.00E+00
2022_NIABiota_GroupE_Snail,Sample,Mortar,Biota,NIA,PFOA,5.57E+04,2.66,5.60E+03,2.64,1.00E+00
2022_NIABiota_GroupF_BlenderBlank,Blank,Blender,Biota,NIA,PFOA,8.22E+04,2.67,5.42E+03,2.65,1.00E+00
2022_NIABiota_GroupF_BlenderSpike,Spike,Blender,Biota,NIA,PFOA,4.81E+04,2.69,5.62E+03,2.64,1.00E+00
2022_NIABiota_GroupF_LargeSunfish1,Sample,Blender,Biota,NIA,PFOA,6.33E+04,2.65,4.89E+03,2.66,1.00E+00
2022_NIABiota_GroupF_LargeSunfish2,Sample,Blender,Biota,NIA,PFOA,5.09E+04,2.67,4.83E+03,2.66,1.00E+00
2022_NIABiota_GroupF_LargeSunfish3,Sample,Blender,Biota,NIA,PFOA,8.00E+04,2.65,6.01E+03,2.67,1.00E+00
2022_NIABiota_GroupF_MortarBlank,Blank,Mortar,Biota,NIA,PFOA,1.68E+04,2.67,2.01E+03,2.64,1.00E+00
2022_NIABiota_GroupF_MortarSpike,Spike,Mortar,Biota,NIA,PFOA,5.90E+04,2.65,4.68E+03,2.64,1.00E+00
2022_NIABiota_GroupF_Snail1,Sample,Mortar,Biota,NIA,PFOA,4.11E+04,2.67,4.00E+03,2.65,1.00E+00
2022_NIABiota_GroupF_Snail2,Sample,Mortar,Biota,NIA,PFOA,3.73E+04,2.63,2.26E+03,2.67,1.00E+00
2021_20MCSediment_GroupG_Sample1,Sample,Field,Sediment,20MC,PFOA,3122.565128,2.65,3000,2.65,1.00E+00
2021_20MCSediment_GroupG_Sample2,Sample,Field,Sediment,20MC,PFOA,1614.012821,2.65,3000,2.65,1.00E+00
2021_20MCSediment_GroupG_Sample3,Sample,Field,Sediment,20MC,PFOA,1210.850127,2.65,3000,2.65,1.00E+00
2021_20MCSediment_GroupG_Spike,Spike,Field,Sediment,20MC,PFOA,138159.3008,2.65,3000,2.65,1.00E+00
2021_20MCSediment_GroupG_LabBlank,Blank,Lab,Sediment,20MC,PFOA,7806.525047,2.65,3000,2.65,1.00E+00
2021_20MCSediment_GroupG_FieldBlank,Blank,Field,Sediment,20MC,PFOA,12640.76737,2.65,3000,2.65,1.00E+00
2021_20MCSediment_GroupH_Sample1,Sample,Field,Sediment,20MC,PFOA,2792.69633,2.65,3000,2.65,1.00E+00
2021_20MCSediment_GroupH_Sample2,Sample,Field,Sediment,20MC,PFOA,1374.146929,2.65,3000,2.65,1.00E+00
2021_20MCSediment_GroupH_Sample3,Sample,Field,Sediment,20MC,PFOA,1638.820685,2.65,3000,2.65,1.00E+00
2021_20MCSediment_GroupH_Spike,Spike,Field,Sediment,20MC,PFOA,153180.6503,2.65,3000,2.65,1.00E+00
2021_20MCSediment_GroupH_LabBlank,Blank,Lab,Sediment,20MC,PFOA,1060.604383,2.65,3000,2.65,1.00E+00
2021_20MCSediment_GroupH_FieldBlank,Blank,Field,Sediment,20MC,PFOA,25252.20095,2.65,3000,2.65,1.00E+00
2021_20MCSediment_GroupI_Sample1,Sample,Field,Sediment,20MC,PFOA,6594.759315,2.65,3000,2.65,1.00E+00
