Sample Name,Sample type,Sample group,Matrix,Location,Compound,Analyte Peak Area,Analyte Retention Time (min),Internal Standard Peak Area,Internal Standard Retention Time (min),Normalization factor
2022_NIAWater_LabBlank,Blank,Lab,Water,NIA,PFDA,0.00E+00,3.16,2.04E+04,2.86,1.00E+00
2022_NIAWater_Sample1,Sample,Field,Water,NIA,PFDA,1.80E+04,0,1.69E+04,2.85,1.00E+00
2022_NIAWater_Sample2,Sample,Field,Water,NIA,PFDA,1.56E+04,2.92,1.57E+04,2.91,1.00E+00
2022_NIAWater_Sample3,Sample,Field,Water,NIA,PFDA,1.82E+04,2.93,1.90E+04,2.91,1.00E+00
2022_NIASediment_GroupA_FieldBlank,Blank,Field,Sediment,NIA,PFDA,0.00E+00,0,6.05E+03,2.93,1.00E+00
2022_NIASediment_GroupA_LabBlank,Blank,Lab,Sediment,NIA,PFDA,0.00E+00,0,1.19E+04,2.93,1.00E+00
2022_NIASediment_GroupA_Sample,Sample,Field,Sediment,NIA,PFDA,1.12E+03,2.97,1.11E+04,2.92,1.00E+00
2022_NIASediment_GroupA_Spike,Spike,Field,Sediment,NIA,PFDA,3.33E+04,2.9,4.87E+03,2.93,1.00E+00
2022_NIASediment_GroupB_FieldBlank,Blank,Field,Sediment,NIA,PFDA,0.00E+00,0,5.22E+03,2.93,1.00E+00
2022_NIASediment_GroupB_LabBlank,Blank,Lab,Sediment,NIA,PFDA,0.00E+00,0,2.93E+03,2.91,1.00E+00
2022_NIASediment_GroupB_Sample,Sample,Field,Sediment,NIA,PFDA,5.63E+02,2.92,2.68E+03,2.9,1.00E+00
2022_NIASediment_GroupB_Spike,Spike,Field,Sediment,NIA,PFDA,1.73E+04,2.9,2.94E+03,2.9,1.00E+00
2022_NIASediment_GroupE_FieldBlank,Blank,Field,Sediment,NIA,PFDA,2.65E+01,2.93,3.94E+03,2.89,1.00E+00
2022_NIASediment_GroupE_LabBlank,Blank,Lab,Sediment,NIA,PFDA,0.00E+00,0,1.79E+03,2.89,1.00E+00
2022_NIASediment_GroupE_Sample,Sample,Field,Sediment,NIA,PFDA,2.01E+02,2.9,2.04E+03,2.91,1.00E+00
2022_NIASediment_GroupE_Spike,Spike,Field,Sediment,NIA,PFDA,5.61E+03,2.88,1.27E+03,2.9,1.00E+00
2022_NIASediment_GroupF_FieldBlank,Blank,Field,Sediment,NIA,PFDA,2.30E+02,2.91,3.04E+03,2.94,1.00E+00
2022_NIASediment_GroupF_LabBlank,Blank,Lab,Sediment,NIA,PFDA,0.00E+00,0,1.85E+03,2.93,1.00E+00
2022_NIASediment_GroupF_Sample,Sample,Field,Sediment,NIA,PFDA,5.67E+02,2.96,1.62E+03,2.95,1.00E+00
2022_NIASediment_GroupF_Spike,Spike,Field,Sediment,NIA,PFDA,1.23E+04,2.92,1.20E+03,2.9,1.00E+00
2022_NIABiota_GroupA_BlenderBlank,Blank,Blender,Biota,NIA,PFDA,0.00E+00,0,6.51E+03,2.93,1.00E+00
2022_NIABiota_GroupA_Crayfish1,Sample,Mortar,Biota,NIA,PFDA,9.32E+02,2.92,3.35E+03,2.94,1.00E+00
2022_NIABiota_GroupA_Crayfish2,Sample,Mortar,Biota,NIA,PFDA,6.91E+02,2.95,2.69E+03,2.94,1.00E+00
2022_NIABiota_GroupA_MortarBlank,Blank,Mortar,Biota,NIA,PFDA,1.15E+03,2.93,5.95E+03,2.92,1.00E+00
2022_NIABiota_GroupA_MortarSpike,Spike,Mortar,Biota,NIA,PFDA,7.89E+02,2.98,4.02E+03,2.91,1.00E+00
2022_NIABiota_GroupA_Sunfish1,Sample,Blender,Biota,NIA,PFDA,6.57E+02,2.93,4.45E+03,2.96,1.00E+00
2022_NIABiota_GroupA_Sunfish2,Sample,Blender,Biota,NIA,PFDA,6.40E+03,2.92,4.90E+03,2.93,1.00E+00
2022_NIABiota_GroupB_BlenderBlank,Blank,Blender,Biota,NIA,PFDA,0.00E+00,0,5.23E+03,2.94,1.00E+00
2022_NIABiota_GroupB_BlenderSpike,Spike,Blender,Biota,NIA,PFDA,2.17E+03,2.95,7.40E+03,2.94,1.00E+00
2022_NIABiota_GroupB_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFDA,1.05E+03,2.93,5.10E+03,2.91,1.00E+00
2022_NIABiota_GroupB_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFDA,4.09E+04,2.94,3.69E+03,2.94,1.00E+00
2022_NIABiota_GroupB_Spider1,Sample,Homogenizer,Biota,NIA,PFDA,0.00E+00,0,5.95E+03,2.92,1.00E+00
2022_NIABiota_GroupB_Spider2,Sample,Homogenizer,Biota,NIA,PFDA,3.80E+02,2.92,6.67E+03,2.93,1.00E+00
2022_NIABiota_GroupB_Sunfish1,Sample,Blender,Biota,NIA,PFDA,0.00E+00,0,5.60E+03,2.95,1.00E+00
2022_NIABiota_GroupB_Sunfish2,Sample,Blender,Biota,NIA,PFDA,4.18E+04,2.93,5.09E+03,2.94,1.00E+00
2022_NIABiota_GroupC_BlenderBlank,Blank,Blender,Biota,NIA,PFDA,0.00E+00,0,4.07E+03,2.94,1.00E+00
2022_NIABiota_GroupC_BlenderSpike,Spike,Blender,Biota,NIA,PFDA,4.00E+02,2.98,5.43E+03,2.94,1.00E+00
2022_NIABiota_GroupC_Catfish1,Sample,Blender,Biota,NIA,PFDA,5.60E+02,2.94,1.64E+03,2.95,1.00E+00
2022_NIABiota_GroupC_Catfish2,Sample,Blender,Biota,NIA,PFDA,1.32E+04,2.93,1.86E+03,2.96,1.00E+00
2022_NIABiota_GroupC_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFDA,0.00E+00,0,2.25E+03,2.95,1.00E+00
2022_NIABiota_GroupC_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFDA,2.20E+02,2.92,2.44E+03,2.95,1.00E+00
2022_NIABiota_GroupC_Shrimp1,Sample,Homogenizer,Biota,NIA,PFDA,1.22E+03,2.93,3.48E+03,2.96,1.00E+00
2022_NIABiota_GroupC_Shrimp2,Sample,Homogenizer,Biota,NIA,PFDA,2.58E+04,2.93,3.54E+03,2.92,1.00E+00
2022_NIABiota_GroupD_Crayfish1,Sample,Mortar,Biota,NIA,PFDA,2.83E+02,2.93,4.92E+03,2.94,1.00E+00
2022_NIABiota_GroupD_Crayfish2,Sample,Mortar,Biota,NIA,PFDA,0.00E+00,0,4.68E+03,2.92,1.00E+00
2022_NIABiota_GroupD_MortarBlank,Blank,Mortar,Biota,NIA,PFDA,2.82E+02,2.97,5.15E+03,2.93,1.00E+00
2022_NIABiota_GroupD_MortarSpike,Spike,Mortar,Biota,NIA,PFDA,1.10E+04,2.91,4.08E+03,2.93,1.00E+00
2022_NIABiota_GroupE_BlenderBlank,Blank,Blender,Biota,NIA,PFDA,0.00E+00,0,5.36E+03,2.92,1.00E+00
2022_NIABiota_GroupE_Catfish,Sample,Blender,Biota,NIA,PFDA,1.28E+03,2.94,4.52E+03,2.93,1.00E+00
2022_NIABiota_GroupE_MortarBlank,Blank,Mortar,Biota,NIA,PFDA,0.00E+00,0,5.83E+03,2.94,1.00E+00
2022_NIABiota_GroupE_MortarSpike,Spike,Mortar,Biota,NIA,PFDA,4.36E+02,2.98,1.59E+03,2.92,1.00E+00
2022_NIABiota_GroupE_Snail,Sample,Mortar,Biota,NIA,PFDA,5.21E+03,2.97,3.55E+03,2.94,1.00E+00
2022_NIABiota_GroupF_BlenderBlank,Blank,Blender,Biota,NIA,PFDA,0.00E+00,0,3.10E+03,2.93,1.00E+00
2022_NIABiota_GroupF_BlenderSpike,Spike,Blender,Biota,NIA,PFDA,6.85E+02,2.97,6.81E+03,2.94,1.00E+00
2022_NIABiota_GroupF_LargeSunfish1,Sample,Blender,Biota,NIA,PFDA,6.34E+02,2.98,6.57E+03,2.95,1.00E+00
2022_NIABiota_GroupF_LargeSunfish2,Sample,Blender,Biota,NIA,PFDA,1.01E+03,2.95,4.26E+03,2.95,1.00E+00
2022_NIABiota_GroupF_LargeSunfish3,Sample,Blender,Biota,NIA,PFDA,1.22E+04,2.95,5.97E+03,2.93,1.00E+00
2022_NIABiota_GroupF_MortarBlank,Blank,Mortar,Biota,NIA,PFDA,0.00E+00,0,3.46E+03,2.93,1.00E+00
2022_NIABiota_GroupF_MortarSpike,Spike,Mortar,Biota,NIA,PFDA,1.13E+02,2.99,3.69E+03,2.96,1.00E+00
2022_NIABiota_GroupF_Snail1,Sample,Mortar,Biota,NIA,PFDA,2.00E+02,2.97,2.12E+03,2.95,1.00E+00
2022_NIABiota_GroupF_Snail2,Sample,Mortar,Biota,NIA,PFDA,6.02E+03,2.94,3.41E+03,2.93,1.00E+00
2021_20MCSediment_GroupG_Sample1,Sample,Field,Sediment,20MC,PFDA,3381.360569,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupG_Sample2,Sample,Field,Sediment,20MC,PFDA,2561.797139,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupG_Sample3,Sample,Field,Sediment,20MC,PFDA,2488.301598,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupG_Spike,Spike,Field,Sediment,20MC,PFDA,127037.6498,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupG_LabBlank,Blank,Lab,Sediment,20MC,PFDA,1667.326504,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupG_FieldBlank,Blank,Field,Sediment,20MC,PFDA,6902.787953,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupH_Sample1,Sample,Field,Sediment,20MC,PFDA,2523.046031,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupH_Sample2,Sample,Field,Sediment,20MC,PFDA,2178.92738,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupH_Sample3,Sample,Field,Sediment,20MC,PFDA,2129.466701,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupH_Spike,Spike,Field,Sediment,20MC,PFDA,60309.05443,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupH_LabBlank,Blank,Lab,Sediment,20MC,PFDA,1589.50175,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupH_FieldBlank,Blank,Field,Sediment,20MC,PFDA,2831.11988,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupI_Sample1,Sample,Field,Sediment,20MC,PFDA,3228.159767,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupI_Sample2,Sample,Field,Sediment,20MC,PFDA,2551.26869,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupI_Sample3,Sample,Field,Sediment,20MC,PFDA,2210.186202,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupI_Spike,Spike,Field,Sediment,20MC,PFDA,114276.1138,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupI_LabBlank,Blank,Lab,Sediment,20MC,PFDA,7545.311581,2.95,3000,2.95,1.00E+00
2021_20MCSediment_GroupI_FieldBlank,Blank,Field,Sediment,20MC,PFDA,4373.711827,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupG_MortarSpike,Spike,Mortar,Biota,20MC,PFDA,61331.38793,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupG_MortarBlank,Blank,Mortar,Biota,20MC,PFDA,1439.396998,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupG_BlenderBlank,Blank,Blender,Biota,20MC,PFDA,997.3321344,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupG_Crayfish1,Sample,Mortar,Biota,20MC,PFDA,1138.786809,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupG_Crayfish2,Sample,Mortar,Biota,20MC,PFDA,3245.630034,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupG_Catfish1,Sample,Blender,Biota,20MC,PFDA,1515.460203,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupG_Catfish2,Sample,Blender,Biota,20MC,PFDA,8740.551604,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupG_HardshellBug,Sample,Mortar,Biota,20MC,PFDA,1268.226192,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupH_MortarSpike,Spike,Mortar,Biota,20MC,PFDA,61331.38793,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupH_MortarBlank,Blank,Mortar,Biota,20MC,PFDA,1129.224596,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupH_BlenderBlank,Blank,Blender,Biota,20MC,PFDA,997.3321344,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupH_HardshellBug1,Sample,Mortar,Biota,20MC,PFDA,1040.246202,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupH_HardshellBug2,Sample,Mortar,Biota,20MC,PFDA,897.1139665,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupH_Crayfish1,Sample,Mortar,Biota,20MC,PFDA,1107.412723,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupH_Crayfish2,Sample,Mortar,Biota,20MC,PFDA,3404.421061,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupH_Catfish,Sample,Blender,Biota,20MC,PFDA,12268.39515,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupI_MortarSpike,Spike,Mortar,Biota,20MC,PFDA,61331.38793,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupI_MortarBlank,Blank,Mortar,Biota,20MC,PFDA,1589.997484,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupI_BlenderBlank,Blank,Blender,Biota,20MC,PFDA,997.3321344,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupI_Crayfish,Sample,Mortar,Biota,20MC,PFDA,4869.774536,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupI_Sunfish,Sample,Blender,Biota,20MC,PFDA,1601.369615,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupI_Catfish,Sample,Blender,Biota,20MC,PFDA,6370.285585,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupI_Nymph,Sample,Mortar,Biota,20MC,PFDA,4530.877123,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupI_Slug,Sample,Blender,Biota,20MC,PFDA,1203.422825,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupI_Beetle1,Sample,Mortar,Biota,20MC,PFDA,2582.753714,2.95,3000,2.95,1.00E+00
2021_20MCBiota_GroupI_Beetle2,Sample,Mortar,Biota,20MC,PFDA,1283.452268,2.95,3000,2.95,1.00E+00
0 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHxS,0.00E+00,0,1.11E+04,2.48,1.00E+00
0.2 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHxS,2.24E+03,2.48,9.65E+03,2.47,1.00E+00
0.4 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHxS,4.97E+03,2.46,8.97E+03,2.51,1.00E+00
1 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHxS,1.10E+04,2.5,9.20E+03,2.48,1.00E+00
2 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHxS,2.17E+04,2.51,1.01E+04,2.49,1.00E+00
4 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHxS,3.41E+04,2.49,7.78E+03,2.5,1.00E+00
10 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHxS,8.67E+04,2.48,9.25E+03,2.47,1.00E+00
20 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHxS,1.68E+05,2.5,6.98E+03,2.48,1.00E+00
40 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHxS,2.86E+05,2.49,7.14E+03,2.49,1.00E+00
100 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHxS,5.64E+05,2.48,5.01E+03,2.5,1.00E+00
2022_20MCWater_FieldBlank,Blank,Field,Water,20MC,PFHxS,0.00E+00,0,5.71E+03,2.52,1.00E+00
2022_20MCWater_FieldSpike1,Spike,Field,Water,20MC,PFHxS,2.40E+03,0,5.80E+03,2.51,1.00E+00
2022_20MCWater_FieldSpike2,Spike,Field,Water,20MC,PFHxS,2.00E+03,0,4.46E+03,2.51,1.00E+00
2022_20MCWater_LabBlank,Blank,Lab,Water,20MC,PFHxS,0.00E+00,0,2.70E+03,2.52,1.00E+00
2022_20MCWater_Sample1,Sample,Field,Water,20MC,PFHxS,9.10E+02,0,4.56E+03,2.52,1.00E+00
2022_20MCWater_Sample2,Sample,Field,Water,20MC,PFHxS,2.03E+02,0,3.67E+03,2.53,1.00E+00
2022_20MCWater_Sample3,Sample,Field,Water,20MC,PFHxS,3.86E+03,2.52,3.94E+03,2.52,1.00E+00
2022_20MCWater_Sample4,Sample,Field,Water,20MC,PFHxS,3.53E+03,2.51,4.30E+03,2.52,1.00E+00
2022_NIAWater_FieldBlank1,Blank,Field,Water,NIA,PFHxS,0.00E+00,0,3.84E+03,2.49,1.00E+00
2022_NIAWater_FieldBlank2,Blank,Field,Water,NIA,PFHxS,0.00E+00,0,3.88E+03,2.51,1.00E+00
2022_NIAWater_FieldSpike1,Spike,Field,Water,NIA,PFHxS,1.26E+03,0,3.88E+03,2.51,1.00E+00
2022_NIAWater_FieldSpike2,Spike,Field,Water,NIA,PFHxS,1.86E+03,2.5,3.18E+03,2.45,1.00E+00
2022_NIAWater_LabBlank,Blank,Lab,Water,NIA,PFHxS,0.00E+00,2.43,2.34E+03,2.45,1.00E+00
2022_NIAWater_Sample1,Sample,Field,Water,NIA,PFHxS,7.03E+03,2.42,2.09E+03,2.42,1.00E+00
2022_NIAWater_Sample2,Sample,Field,Water,NIA,PFHxS,5.67E+03,2.52,2.89E+03,2.51,1.00E+00
2022_NIAWater_Sample3,Sample,Field,Water,NIA,PFHxS,5.35E+03,2.5,3.26E+03,2.52,1.00E+00
2022_NIASediment_GroupA_FieldBlank,Blank,Field,Sediment,NIA,PFHxS,0.00E+00,0,8.87E+02,2.52,1.00E+00
2022_NIASediment_GroupA_LabBlank,Blank,Lab,Sediment,NIA,PFHxS,0.00E+00,0,3.72E+02,2.52,1.00E+00
2022_NIASediment_GroupA_Sample,Sample,Field,Sediment,NIA,PFHxS,9.83E+03,0,4.08E+02,2.5,1.00E+00
2022_NIASediment_GroupA_Spike,Spike,Field,Sediment,NIA,PFHxS,1.37E+03,2.51,1.87E+02,2.53,1.00E+00
2022_NIASediment_GroupB_FieldBlank,Blank,Field,Sediment,NIA,PFHxS,0.00E+00,0,1.82E+02,2.5,1.00E+00
2022_NIASediment_GroupB_LabBlank,Blank,Lab,Sediment,NIA,PFHxS,0.00E+00,0,2.50E+02,2.53,1.00E+00
2022_NIASediment_GroupB_Sample,Sample,Field,Sediment,NIA,PFHxS,1.71E+04,2.56,4.91E+02,2.49,1.00E+00
2022_NIASediment_GroupB_Spike,Spike,Field,Sediment,NIA,PFHxS,3.17E+03,2.22,1.06E+02,2.5,1.00E+00
2022_NIASediment_GroupE_FieldBlank,Blank,Field,Sediment,NIA,PFHxS,1.75E+03,2.26,3.41E+02,2.53,1.00E+00
2022_NIASediment_GroupE_LabBlank,Blank,Lab,Sediment,NIA,PFHxS,5.12E+02,2.24,9.41E+01,2.53,1.00E+00
2022_NIASediment_GroupE_Sample,Sample,Field,Sediment,NIA,PFHxS,3.80E+03,2.27,9.14E+01,2.54,1.00E+00
2022_NIASediment_GroupE_Spike,Spike,Field,Sediment,NIA,PFHxS,9.04E+03,2.28,1.44E+02,2.55,1.00E+00
2022_NIASediment_GroupF_FieldBlank,Blank,Field,Sediment,NIA,PFHxS,0.00E+00,0,6.56E+01,2.3,1.00E+00
2022_NIASediment_GroupF_LabBlank,Blank,Lab,Sediment,NIA,PFHxS,0.00E+00,0,5.36E+01,2.9,1.00E+00
2022_NIASediment_GroupF_Sample,Sample,Field,Sediment,NIA,PFHxS,3.62E+03,0,1.05E+02,2.51,1.00E+00
2022_NIASediment_GroupF_Spike,Spike,Field,Sediment,NIA,PFHxS,8.01E+02,2.5,1.19E+02,3.04,1.00E+00
2022_NIABiota_GroupA_BlenderBlank,Blank,Blender,Biota,NIA,PFHxS,0.00E+00,0,5.13E+02,2.72,1.00E+00
2022_NIABiota_GroupA_Crayfish1,Sample,Mortar,Biota,NIA,PFHxS,0.00E+00,0,6.56E+02,3.3,1.00E+00
2022_NIABiota_GroupA_Crayfish2,Sample,Mortar,Biota,NIA,PFHxS,3.65E+01,2.67,1.19E+02,2.57,1.00E+00
2022_NIABiota_GroupA_MortarBlank,Blank,Mortar,Biota,NIA,PFHxS,0.00E+00,0,6.63E+02,2.5,1.00E+00
2022_NIABiota_GroupA_MortarSpike,Spike,Mortar,Biota,NIA,PFHxS,1.09E+02,2.58,9.82E+01,2.52,1.00E+00
2022_NIABiota_GroupA_Sunfish1,Sample,Blender,Biota,NIA,PFHxS,5.45E+02,2.54,2.79E+02,2.49,1.00E+00
2022_NIABiota_GroupA_Sunfish2,Sample,Blender,Biota,NIA,PFHxS,3.30E+03,2.52,5.03E+02,2.53,1.00E+00
2022_NIABiota_GroupB_BlenderBlank,Blank,Blender,Biota,NIA,PFHxS,0.00E+00,0,6.19E+02,2.5,1.00E+00
2022_NIABiota_GroupB_BlenderSpike,Spike,Blender,Biota,NIA,PFHxS,9.12E+01,2.58,2.25E+02,2.52,1.00E+00
2022_NIABiota_GroupB_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFHxS,1.84E+02,2.65,1.32E+02,2.57,1.00E+00
2022_NIABiota_GroupB_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFHxS,1.50E+03,2.56,1.06E+02,2.5,1.00E+00
2022_NIABiota_GroupB_Spider1,Sample,Homogenizer,Biota,NIA,PFHxS,0.00E+00,0,5.18E+02,2.49,1.00E+00
2022_NIABiota_GroupB_Spider2,Sample,Homogenizer,Biota,NIA,PFHxS,1.30E+02,2.52,3.10E+02,2.53,1.00E+00
2022_NIABiota_GroupB_Sunfish1,Sample,Blender,Biota,NIA,PFHxS,1.85E+02,2.54,1.86E+02,2.48,1.00E+00
2022_NIABiota_GroupB_Sunfish2,Sample,Blender,Biota,NIA,PFHxS,3.70E+03,2.53,6.53E+02,2.51,1.00E+00
2022_NIABiota_GroupC_BlenderBlank,Blank,Blender,Biota,NIA,PFHxS,0.00E+00,0,3.56E+02,2.52,1.00E+00
2022_NIABiota_GroupC_BlenderSpike,Spike,Blender,Biota,NIA,PFHxS,1.32E+02,2.53,6.34E+01,2.67,1.00E+00
2022_NIABiota_GroupC_Catfish1,Sample,Blender,Biota,NIA,PFHxS,2.35E+02,2.5,9.17E+01,2.49,1.00E+00
2022_NIABiota_GroupC_Catfish2,Sample,Blender,Biota,NIA,PFHxS,7.52E+02,2.51,2.51E+01,2.73,1.00E+00
2022_NIABiota_GroupC_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFHxS,0.00E+00,0,2.92E+02,2.47,1.00E+00
2022_NIABiota_GroupC_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFHxS,8.95E+01,2.7,1.56E+02,2.53,1.00E+00
2022_NIABiota_GroupC_Shrimp1,Sample,Homogenizer,Biota,NIA,PFHxS,0.00E+00,0,2.74E+02,2.98,1.00E+00
2022_NIABiota_GroupC_Shrimp2,Sample,Homogenizer,Biota,NIA,PFHxS,7.47E+02,2.52,1.18E+02,2.43,1.00E+00
2022_NIABiota_GroupD_Crayfish1,Sample,Mortar,Biota,NIA,PFHxS,0.00E+00,0,6.79E+02,2.5,1.00E+00
2022_NIABiota_GroupD_Crayfish2,Sample,Mortar,Biota,NIA,PFHxS,2.51E+02,2.57,6.58E+01,2.54,1.00E+00
2022_NIABiota_GroupD_MortarBlank,Blank,Mortar,Biota,NIA,PFHxS,1.82E+02,2.48,1.69E+02,2.51,1.00E+00
2022_NIABiota_GroupD_MortarSpike,Spike,Mortar,Biota,NIA,PFHxS,2.00E+03,2.54,3.20E+02,2.53,1.00E+00
2022_NIABiota_GroupE_BlenderBlank,Blank,Blender,Biota,NIA,PFHxS,0.00E+00,0,7.97E+02,2.52,1.00E+00
2022_NIABiota_GroupE_Catfish,Sample,Blender,Biota,NIA,PFHxS,1.47E+02,2.3,2.59E+02,2.96,1.00E+00
